"id";"steam_image_api";"appid";"game_name";"release_date";"developer";"publisher";"price";"uploaded_game_image"
1778;"https://cdn.akamai.steamstatic.com/steam/apps/239200/header.jpg?t=1670246309";239200;"Amnesia: A Machine for Pigs";"2013-09-10";"The Chinese Room";"Frictional Games";14.99;"/placeholder.png"
1779;"https://cdn.akamai.steamstatic.com/steam/apps/239250/header.jpg?t=1631586464";239250;"Castlevania: Lords of Shadow 2";"2014-02-25";"MercurySteam";"Konami Digital Entertainment";24.99;"/placeholder.png"
1780;"https://cdn.akamai.steamstatic.com/steam/apps/239430/header.jpg?t=1676290756";239430;"Q.U.B.E: Director's Cut";"2014-05-21";"Toxic Games";"Toxic Games";6.99;"/placeholder.png"
1781;"https://cdn.akamai.steamstatic.com/steam/apps/239700/header.jpg?t=1567631060";239700;"Hate Plus";"2013-08-19";"Love Conquers All Games";"Love Conquers All Games";7.19;"/placeholder.png"
1782;"https://cdn.akamai.steamstatic.com/steam/apps/239720/header.jpg?t=1594317404";239720;"PAC-MAN™ and the Ghostly Adventures";"2014-03-06";"NAMCO BANDAI Games";"BANDAI NAMCO Entertainment";29.99;"/placeholder.png"
1783;"https://cdn.akamai.steamstatic.com/steam/apps/239800/header.jpg?t=1572981766";239800;"Bleed";"2013-07-03";"Ian Campbell";"Ian Campbell";3.99;"/placeholder.png"
1784;"https://cdn.akamai.steamstatic.com/steam/apps/239820/header.jpg?t=1667167358";239820;"Game Dev Tycoon";"2013-08-29";"Greenheart Games";"Greenheart Games";6.99;"/placeholder.png"
1785;"https://cdn.akamai.steamstatic.com/steam/apps/239840/header.jpg?t=1572648629";239840;"Dead State: Reanimated";"2014-12-04";"DoubleBear Productions";"DoubleBear Productions";14.99;"/placeholder.png"
1786;"https://cdn.akamai.steamstatic.com/steam/apps/240320/header.jpg?t=1573041026";240320;"Panzar";"2013-11-25";"Panzar Studio";"OVALIS INVESTMENTS LIMITED";0.0;"/placeholder.png"
1787;"https://cdn.akamai.steamstatic.com/steam/apps/240340/header.jpg?t=1666984301";240340;"Space Ace";"2013-08-27";"Digital Leisure Inc.";"Digital Leisure Inc.";6.99;"/placeholder.png"
1788;"https://cdn.akamai.steamstatic.com/steam/apps/240360/header.jpg?t=1666984430";240360;"Dragon's Lair 2: Time Warp";"2013-10-24";"Digital Leisure Inc.";"Digital Leisure Inc.";6.99;"/placeholder.png"
1789;"https://cdn.akamai.steamstatic.com/steam/apps/240440/header.jpg?t=1603302631";240440;"Quadrilateral Cowboy";"2016-07-25";"Blendo Games";"Blendo Games";14.99;"/placeholder.png"
1790;"https://cdn.cloudflare.steamstatic.com/steam/apps/240600/header.jpg?";240600;"MotoGP™13";"2013-06-20";"Milestone S.r.l.";"Plug In Digital;Milestone S.r.l.";6.99;"/placeholder.png"
1791;"https://cdn.cloudflare.steamstatic.com/steam/apps/240620/header.jpg?";240620;"Wanderlust Adventures";"2015-08-10";"Yeti Trunk";"Chucklefish";6.99;"/placeholder.png"
1792;"https://cdn.cloudflare.steamstatic.com/steam/apps/240720/header.jpg?";240720;"Getting Over It with Bennett Foddy";"2017-12-06";"Bennett Foddy";"Bennett Foddy";5.79;"/placeholder.png"
1793;"https://cdn.cloudflare.steamstatic.com/steam/apps/240760/header.jpg?";240760;"Wasteland 2: Director's Cut";"2014-09-18";"inXile Entertainment";"inXile Entertainment";23.79;"/placeholder.png"
1794;"https://cdn.cloudflare.steamstatic.com/steam/apps/240970/header.jpg?";240970;"Half Minute Hero: The Second Coming";"2014-04-04";"Opus";"Marvelous";6.99;"/placeholder.png"
1795;"https://cdn.cloudflare.steamstatic.com/steam/apps/241000/header.jpg?";241000;"Jon Shafer's At the Gates";"2019-01-23";"Conifer Games";"Conifer Games";24.99;"/placeholder.png"
1796;"https://cdn.cloudflare.steamstatic.com/steam/apps/241240/header.jpg?";241240;"Contraption Maker";"2014-07-07";"Game Dev Castle";"Top Meadow";7.19;"/placeholder.png"
1797;"https://cdn.cloudflare.steamstatic.com/steam/apps/241260/header.jpg?";241260;"Sherlock Holmes: Crimes and Punishments";"2014-09-29";"Frogwares";"Focus Home Interactive";19.99;"/placeholder.png"
1798;"https://cdn.cloudflare.steamstatic.com/steam/apps/241300/header.jpg?";241300;"Card City Nights 2";"2017-09-01";"Ludosity";"Ludosity";5.79;"/placeholder.png"
1799;"https://cdn.cloudflare.steamstatic.com/steam/apps/241320/header.jpg?";241320;"Ittle Dew";"2013-07-23";"Ludosity";"Ludosity";7.19;"/placeholder.png"
1800;"https://cdn.cloudflare.steamstatic.com/steam/apps/241410/header.jpg?";241410;"CastleStorm";"2013-07-29";"Zen Studios";"Zen Studios";6.99;"/placeholder.png"
1801;"https://cdn.cloudflare.steamstatic.com/steam/apps/241560/header.jpg?";241560;"The Crew™";"2014-12-19";"Ivory Tower in collaboration with Ubisoft Reflections";"Ubisoft";25.99;"/placeholder.png"
1802;"https://cdn.cloudflare.steamstatic.com/steam/apps/241600/header.jpg?";241600;"Rogue Legacy";"2013-06-27";"Cellar Door Games";"Cellar Door Games";10.99;"/placeholder.png"
1803;"https://cdn.cloudflare.steamstatic.com/steam/apps/241620/header.jpg?";241620;"Inquisitor";"2013-08-01";"CINEMAX, s.r.o.";"CINEMAX, s.r.o.";6.99;"/placeholder.png"
1804;"https://cdn.cloudflare.steamstatic.com/steam/apps/241720/header.jpg?";241720;"Guncraft";"2013-08-09";"Exato Games Studio";"Reverb Triple XP";10.99;"/placeholder.png"
1805;"https://cdn.cloudflare.steamstatic.com/steam/apps/241760/header.jpg?";241760;"Kill to Collect";"2016-04-06";"Pieces Interactive";"HandyGames;Pieces Interactive";6.99;"/placeholder.png"
1806;"https://cdn.cloudflare.steamstatic.com/steam/apps/241910/header.jpg?";241910;"Goodbye Deponia";"2013-10-17";"Daedalic Entertainment";"Daedalic Entertainment";16.99;"/placeholder.png"
1807;"https://cdn.cloudflare.steamstatic.com/steam/apps/242050/header.jpg?";242050;"Assassin’s Creed® IV Black Flag™";"2013-11-19";"Ubisoft Montreal";"Ubisoft";16.99;"/placeholder.png"
1808;"https://cdn.cloudflare.steamstatic.com/steam/apps/242110/header.jpg?";242110;"Joe Danger 2: The Movie";"2013-06-24";"Hello Games";"Hello Games";9.99;"/placeholder.png"
1809;"https://cdn.cloudflare.steamstatic.com/steam/apps/242130/header.jpg?";242130;"Vector Thrust";"2015-07-02";"TimeSymmetry";"Iceberg Interactive";18.99;"/placeholder.png"
1810;"https://cdn.cloudflare.steamstatic.com/steam/apps/242530/header.jpg?";242530;"The Chaos Engine";"2013-08-29";"Abstraction Games;The Bitmap Brothers";"The Bitmap Brothers";6.99;"/placeholder.png"
1811;"https://cdn.cloudflare.steamstatic.com/steam/apps/242570/header.jpg?";242570;"Space Hulk";"2013-08-15";"Full Control Studios";"Full Control";18.99;"/placeholder.png"
1812;"https://cdn.cloudflare.steamstatic.com/steam/apps/242640/header.jpg?";242640;"Styx: Master of Shadows";"2014-10-07";"Cyanide Studio";"Focus Home Interactive";24.99;"/placeholder.png"
1813;"https://cdn.akamai.steamstatic.com/steam/apps/242680/header.jpg?t=1449523044";242680;"Nuclear Throne";"2015-12-05";"Vlambeer";"Vlambeer";9.29;"/placeholder.png"
